dt;cuti bersama;idul_fitri;cuti_idul_fitri;ramadhan;libur_sekolah;jumlah_libur
01/01/2015;;;;;1;2
01/02/2015;;;;;;1
01/03/2015;;;;;;1
01/04/2015;;;;;;1
01/05/2015;;;;;;3
01/06/2015;;;;1;;1
01/07/2015;16-21;1;1;1;1;5
01/08/2015;;;;;;1
01/09/2015;;;;;;1
01/10/2015;;;;;;1
01/11/2015;;;;;;0
01/12/2015;;;;;1;2
01/01/2016;;;;;1;1
01/02/2016;;;;;;1
01/03/2016;;;;;;2
01/04/2016;;;;;;0
01/05/2016;;;;;;4
01/06/2016;;;;1;;0
01/07/2016;4-8;1;1;1;1;5
01/08/2016;;;;;;1
01/09/2016;;;;;;1
01/10/2016;;;;;;1
01/11/2016;;;;;;0
01/12/2016;;;;;1;3
01/01/2017;;;;;1;2
01/02/2017;;;;;;0
01/03/2017;;;;;;1
01/04/2017;;;;;;2
01/05/2017;;;;1;;3
01/06/2017;23-28;1;1;1;1;5
01/07/2017;;;;;1;0
01/08/2017;;;;;;1
01/09/2017;;;;;;2
01/10/2017;;;;;;0
01/11/2017;;;;;;0
01/12/2017;;;;;1;3
01/01/2018;;;;;1;1
01/02/2018;;;;;;1
01/03/2018;;;;;;2
01/04/2018;;;;;;1
01/05/2018;;;;1;;3
01/06/2018;11-20;1;1;1;1;10
01/07/2018;;;;;1;0
01/08/2018;;;;;;2
01/09/2018;;;;;;1
01/10/2018;;;;;;0
01/11/2018;;;;;;1
01/12/2018;;;;;1;2
01/01/2019;;;;;;1
01/02/2019;;;;;;1
01/03/2019;;;;;;1
01/04/2019;;;;;;2
01/05/2019;;;;1;;3
01/06/2019;3-7;1;1;1;1;6
01/07/2019;;;;;1;0
01/08/2019;;;;;;2
01/09/2019;;;;;;1
01/10/2019;;;;;;0
01/11/2019;;;;;;1
01/12/2019;;;;;1;2
01/01/2020;;;;;1;2
01/02/2020;;;;;;0
01/03/2020;;;;;;2
01/04/2020;;;;1;;1
01/05/2020;22-27;1;1;1;;8
01/06/2020;;;;;;1
01/07/2020;;;;;1;1
01/08/2020;;;;;;2
01/09/2020;;;;;;0
01/10/2020;;;;;;1
01/11/2020;;;;;;0
01/12/2020;;;;;1;2
01/01/2021;;;;;1;1
01/02/2021;;;;;;1
01/03/2021;;;;;;3
01/04/2021;;;;1;;1
01/05/2021;12-19;1;1;1;;9
01/06/2021;;;;;1;1
01/07/2021;;;;;1;1
01/08/2021;;;;;;2
01/09/2021;;;;;;0
01/10/2021;;;;;;1
01/11/2021;;;;;;0
01/12/2021;;;;;1;3
01/01/2022;;;;;;2
01/02/2022;;;;;;1
01/03/2022;;;;;;1
01/04/2022;;;1;1;;1
01/05/2022;29 ap - 6 mei;1;1;1;;5
01/06/2022;;;;;;1
01/07/2022;;;;;1;2
01/08/2022;;;;;;1
01/09/2022;;;;;;0
01/10/2022;;;;;;1
01/11/2022;;;;;;0
01/12/2022;;;;;1;1
01/01/2023;;;;;;3
01/02/2023;;;;;;1
01/03/2023;;;;1;;2
01/04/2023;19-25;1;1;1;;7
01/05/2023;;;;;;2
01/06/2023;;;;;1;4
01/07/2023;;;;;1;1
01/08/2023;;;;;;1
01/09/2023;;;;;;1
01/10/2023;;;;;;0
01/11/2023;;;;;;0
01/12/2023;;;;;1;2
01/01/2024;;;;;;1
01/02/2024;;;;;;3
01/03/2024;;;;1;;4
01/04/2024;8-15;1;1;1;;6
01/05/2024;;;;;;6
01/06/2024;;;;;1;3
01/07/2024;;;;;1;1
01/08/2024;;;;;;1
01/09/2024;;;;;;1
01/10/2024;;;;;;
01/11/2024;;;;;;
01/12/2024;;;;;1;1
